movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,region,director_name,director_profession,release_date,production_budget,domestic_gross,worldwide_gross
tt1323045,Frozen,Frozen,2010,93.0,"Adventure,Drama,Sport",6.2,62311.0,SE,Adam Green,"writer,producer,director","Nov 22, 2013","$150,000,000","$400,738,009","$1,272,469,910"
tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733.0,IT,David Slade,"producer,director,writer","Jun 30, 2010","$68,000,000","$300,531,751","$706,102,828"
tt1326238,Backlight,Backlight,2010,90.0,"Drama,Mystery,Sci-Fi",6.2,2018.0,FR,Fernando Fragata,"director,writer,camera_department","Jun 13, 2014","$4,000,000","$600,896","$2,665,322"
tt1327601,Something Wicked,Something Wicked,2014,95.0,"Drama,Horror,Mystery",4.8,1243.0,US,Darin Scott,"producer,director,writer","Mar 17, 2015","$3,000,000",$0,$0
tt1327709,Cyrus,Cyrus,2010,87.0,"Crime,Horror,Mystery",4.7,944.0,Unknown,Mark Vadik,"writer,producer,director","Jun 18, 2010","$7,000,000","$7,468,936","$10,062,896"
tt1328873,Death Calls,Death Calls,2010,90.0,"Action,Adventure,Mystery",4.6,33.0,US,Ken Del Conte,"actor,producer,director","Dec 31, 2010","$290,000",$0,$0
tt1328873,Death Calls,Death Calls,2010,90.0,"Action,Adventure,Mystery",4.6,33.0,US,Hector Echavarria,"actor,producer,writer","Dec 31, 2010","$290,000",$0,$0
tt1334515,Bad Company,Bad Company,2010,87.0,Thriller,5.1,10.0,GB,Jason King,"producer,director,writer","Jun 7, 2002","$70,000,000","$30,157,016","$69,157,016"
tt1337686,The Prometheus Project,The Prometheus Project,2010,87.0,"Horror,Sci-Fi",5.0,942.0,BR,Sean Tretta,"writer,producer,editor","Nov 4, 1994","$45,000,000","$22,006,296","$112,006,296"
tt1341167,Four Lions,Four Lions,2010,97.0,"Comedy,Crime,Drama",7.3,66209.0,FI,Christopher Morris,"actor,writer,composer","Nov 5, 2010","$3,750,000","$310,007","$2,436,111"
tt1342096,Butterfly,Butterfly,2010,90.0,"Horror,Thriller",4.7,53.0,US,Edward E. Romero,"casting_department,writer,actor","Dec 31, 2010","$250,000",$0,$0
tt1349485,The Knife of Don Juan,La navaja de Don Juan,2013,99.0,"Comedy,Drama",7.0,32.0,US,Tom Sanchez,"editorial_department,editor,sound_department","Sep 18, 2015","$1,200,000","$4,254","$4,254"
tt1361313,The Extra Man,The Extra Man,2010,108.0,Comedy,5.9,4580.0,FR,Shari Springer Berman,"director,writer,producer","Jul 30, 2010","$7,000,000","$453,377","$492,108"
tt1361313,The Extra Man,The Extra Man,2010,108.0,Comedy,5.9,4580.0,FR,Robert Pulcini,"director,writer,editor","Jul 30, 2010","$7,000,000","$453,377","$492,108"
tt1365519,Tomb Raider,Tomb Raider,2018,119.0,"Action,Adventure,Fantasy",6.3,163560.0,HU,Roar Uthaug,"director,writer,assistant_director","Mar 16, 2018","$90,000,000","$58,250,803","$273,477,501"
tt1366338,Lowriders,Lowriders,2016,98.0,"Adventure,Crime,Drama",5.7,1954.0,US,Ricardo de Montreuil,"director,writer,producer","May 12, 2017","$916,000","$6,179,955","$6,188,421"
tt1371160,The Kid,The Kid,2010,111.0,Drama,6.9,1206.0,GB,Nick Moran,"actor,producer,writer","Jul 7, 2000","$65,000,000","$69,688,384","$69,688,384"
tt1372689,Stranded,Djinns,2010,103.0,"Horror,Mystery",5.1,800.0,SE,Sandra Martin,"director,writer","Jul 26, 2013","$1,900,000",$0,"$285,593"
tt1372689,Stranded,Djinns,2010,103.0,"Horror,Mystery",5.1,800.0,SE,Hugues Martin,"writer,director,visual_effects","Jul 26, 2013","$1,900,000",$0,"$285,593"
tt1373405,The Awakening,The Awakening,2010,83.0,"Horror,Thriller",2.4,141.0,US,Vince Rotonda,"producer,miscellaneous,production_manager","Aug 17, 2012","$4,900,000","$95,933","$6,924,321"
tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,2015,120.0,"Action,Adventure,Sci-Fi",8.1,780910.0,AU,George Miller,"producer,writer,director","May 15, 2015","$150,000,000","$153,636,354","$370,098,020"
tt1395065,Sal,Sal,2011,114.0,"Drama,Western",5.2,139.0,SE,Diego Rougier,"director,writer,actor","Jul 23, 2010","$130,000,000","$118,311,368","$290,650,494"
tt1396484,It,It,2017,135.0,"Horror,Thriller",7.4,359123.0,CA,Andy Muschietti,"director,writer,producer","Sep 8, 2017","$35,000,000","$327,481,748","$697,457,969"
